chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1968-07-31,1,TOMMY JAMES AND THE SHONDELLS,MONY MONY,2,1,9
1968-07-31,2,DES O'CONNOR,I PRETEND,1,1,13
1968-07-31,3,CRAZY WORLD OF ARTHUR BROWN,FIRE!,8,3,6
1968-07-31,4,RICHARD HARRIS,MACARTHUR PARK,4,4,6
1968-07-31,5,SIMON AND GARFUNKEL,MRS. ROBINSON,10,5,4
1968-07-31,6,EQUALS,BABY COME BACK,3,1,13
1968-07-31,7,DUSTY SPRINGFIELD,I CLOSE MY EYES AND COUNT TO TEN,11,7,4
1968-07-31,8,"DAVE DEE, DOZY, BEAKY, MICK AND TICH",LAST NIGHT IN SOHO,12,8,5
1968-07-31,9,OC SMITH,SON OF HICKORY HOLLER'S TRAMP,6,2,10
1968-07-31,10,OHIO EXPRESS,YUMMY YUMMY YUMMY,5,5,9
1968-07-31,11,HERB ALPERT,THIS GUY'S IN LOVE WITH YOU,9,9,5
1968-07-31,12,TOM JONES,HELP YOURSELF,22,12,3
1968-07-31,13,CUPID'S INSPIRATION,YESTERDAY HAS GONE,7,4,7
1968-07-31,14,SLY AND THE FAMILY STONE,DANCE TO THE MUSIC,23,14,4
1968-07-31,15,HERMAN'S HERMITS,SUNSHINE GIRL,29,15,3
1968-07-31,16,THE SMALL FACES,UNIVERSAL,18,16,4
1968-07-31,17,R DEAN TAYLOR,GOTTA SEE JANE,20,17,7
1968-07-31,18,BRUCE CHANNEL,KEEP ON,21,18,6
1968-07-31,19,THE KINKS,DAYS,34,19,3
1968-07-31,20,PIGMEAT MARKHAM,HERE COMES THE JUDGE,28,20,3
1968-07-31,21,MANFRED MANN,MY NAME IS JACK,13,8,8
1968-07-31,22,SUE NICHOLLS,WHERE WILL YOU BE,17,17,5
1968-07-31,23,ESTHER AND ABI OFARIM,ONE MORE DANCE,15,13,7
1968-07-31,24,JOHN ROWLES,HUSH NOT A WORD TO MARY,14,12,7
1968-07-31,25,DON PARTRIDGE,BLUE EYES,16,3,10
1968-07-31,26,THE BEACH BOYS,DO IT AGAIN,46,26,2
1968-07-31,27,MARMALADE,LOVIN' THINGS,26,6,11
1968-07-31,28,THE ROLLING STONES,JUMPIN' JACK FLASH,19,1,10
1968-07-31,29,UNION GAP,YOUNG GIRL,25,1,16
1968-07-31,30,SHORTY LONG,HERE COMES THE JUDGE,32,30,3
1968-07-31,31,DONOVAN,HURDY GURDY MAN,24,4,10
1968-07-31,32,THE MONKEES,DW WASHBURN,27,17,6
1968-07-31,33,THE NICE,AMERICA,31,31,4
1968-07-31,34,VINCE HILL,IMPORTANCE OF YOUR LOVE,35,32,6
1968-07-31,35,CLIFF RICHARD,I'LL LOVE YOU FOREVER TODAY,30,27,6
1968-07-31,36,P.P. ARNOLD,ANGEL OF THE MORNING,40,36,4
1968-07-31,37,CANNED HEAT,ON THE ROAD AGAIN,44,37,2
1968-07-31,38,TIMEBOX,BEGGIN',49,38,2
1968-07-31,39,ROY ORBISON,WALK ON,48,39,2
1968-07-31,40,ELVIS PRESLEY,YOUR TIME HASN'T COME YET BABY,45,40,3
1968-07-31,41,LOUIS ARMSTRONG,THE SUNSHINE OF YOUR LOVE,47,41,6
1968-07-31,42,FLEETWOOD MAC,NEED YOUR LOVE SO BAD,50,42,3
1968-07-31,43,ROBERT JOHN,IF YOU DON'T WANT MY LOVE,42,42,3
1968-07-31,44,AMEN CORNER,HIGH IN THE SKY,New,44,1
1968-07-31,45,RAY CHARLES,ELEANOR RIGBY,New,45,1
1968-07-31,46,OTIS REDDING,HARD TO HANDLE,New,46,1
1968-07-31,47,LOUIS ARMSTRONG,WHAT A WONDERFUL WORLD/CABARET,33,1,26
1968-07-31,48,DIANA ROSS AND THE SUPREMES,SOME THINGS YOU NEVER GET USED TO,36,34,5
1968-07-31,49,ENGELBERT HUMPERDINCK,A MAN WITHOUT LOVE,43,2,15
1968-07-31,50,JULIE DRISCOLL AND THE BRIAN AUGER TRINITY,THIS WHEEL'S ON FIRE,39,5,16
