chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1957-04-26,1,LONNIE DONEGAN,CUMBERLAND GAP,1,1,4
1957-04-26,2,HARRY BELAFONTE,THE BANANA BOAT SONG,3,2,9
1957-04-26,3,TAB HUNTER,YOUNG LOVE,2,1,12
1957-04-26,4,PAT BOONE,DON'T FORBID ME,4,2,13
1957-04-26,5,LITTLE RICHARD,LONG TALL SALLY,5,3,12
1957-04-26,6,FRANKIE LYMON AND THE TEENAGERS,BABY BABY,8,6,3
1957-04-26,7,JOHNNIE RAY,"LOOK HOMEWARD, ANGEL",17,7,25
1957-04-26,8,TAB HUNTER,99 WAYS,9,8,3
1957-04-26,9,NAT 'KING' COLE,WHEN I FALL IN LOVE,20,9,2
1957-04-26,10,LONNIE DONEGAN,DON'T YOU ROCK ME DADDY-O,10,4,15
1957-04-26,11,SLIM WHITMAN,I'LL TAKE YOU HOME AGAIN KATHLEEN,15,11,3
1957-04-26,12,GUY MITCHELL,KNEE DEEP IN THE BLUES,6,3,11
1957-04-26,12,CHARLES MCDEVITT SKIFFLE GROUP FEATURING NANCY WHISKEY,FREIGHT TRAIN FT NANCY WHISKEY,18,12,3
1957-04-26,14,MAX BYGRAVES,HEART,14,14,4
1957-04-26,15,FRANKIE LYMON AND THE TEENAGERS,I'M NOT A JUVENILE DELINQUENT,12,12,5
1957-04-26,16,ANDY WILLIAMS,BUTTERFLY,29,16,2
1957-04-26,17,BING CROSBY AND GRACE KELLY,TRUE LOVE,11,4,23
1957-04-26,17,LITTLE RICHARD,THE GIRL CAN'T HELP IT,12,9,7
1957-04-26,19,GUY MITCHELL,ROCK-A-BILLY,New,19,1
1957-04-26,20,GUY MITCHELL,SINGING THE BLUES,20,1,21
1957-04-26,21,CHARLIE GRACIE,BUTTERFLY,23,21,2
1957-04-26,22,FRANKIE LAINE AND THE EASY RIDERS,LOVE IS A GOLDEN RING,New,22,1
1957-04-26,23,JOHNSTON BROTHERS,HEART,26,23,2
1957-04-26,25,VIPERS SKIFFLE GROUP,CUMBERLAND GAP,16,10,6
1957-04-26,25,FATS DOMINO,I'M WALKIN',19,19,2
1957-04-26,27,ROSEMARY CLOONEY,MANGOS,RE,25,3
1957-04-26,28,PAT BOONE,WHY BABY WHY,New,28,1
1957-04-26,29,PAT BOONE,FRIENDLY PERSUASION,28,3,21
1957-04-26,30,HILLTOPPERS,MARIANNE,RE,20,3
