chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1992-01-05,1,QUEEN,BOHEMIAN RHAPSODY/THESE ARE THE DAYS OF OUR LIVES,1,1,4
1992-01-05,2,KLF FEATURING TAMMY WYNETTE,JUSTIFIED AND ANCIENT FT TAMMY WYNETTE,2,2,6
1992-01-05,3,RIGHT SAID FRED,DON'T TALK JUST KISS,5,3,6
1992-01-05,4,HAMMER,ADDAMS GROOVE,8,4,4
1992-01-05,5,KYM SIMS,TOO BLIND TO SEE IT,7,5,6
1992-01-05,6,DIANA ROSS,WHEN YOU TELL ME THAT YOU LOVE ME,3,2,7
1992-01-05,7,SHAFT,ROOBARB AND CUSTARD,9,7,4
1992-01-05,8,GEORGE MICHAEL AND ELTON JOHN,DON'T LET THE SUN GO DOWN ON ME,4,1,6
1992-01-05,9,WET WET WET,GOODNIGHT GIRL,20,9,2
1992-01-05,10,THE PRODIGY,EVERYBODY IN THE PLACE (EP),48,10,2
1992-01-05,11,GUNS N' ROSES,LIVE AND LET DIE,6,5,4
1992-01-05,12,BRIAN MAY,DRIVEN BY YOU,10,6,6
1992-01-05,13,CE CE PENISTON,WE GOT A LOVE THANG,New,13,1
1992-01-05,14,CARTER - THE UNSTOPPABLE SEX MACHINE,RUBBISH,New,14,1
1992-01-05,15,EAST SIDE BEAT,RIDE LIKE THE WIND,15,3,7
1992-01-05,16,DIGITAL ORGASM,RUNNING OUT OF TIME,19,16,6
1992-01-05,17,ISOTONIK,DIFFERENT STROKES,New,17,1
1992-01-05,18,SENSELESS THINGS,EASY TO SMILE,New,18,1
1992-01-05,19,MARTIKA,MARTIKA'S KITCHEN,17,17,7
1992-01-05,20,LISA STANSFIELD,ALL WOMAN,22,20,4
1992-01-05,21,KISS,GOD GAVE ROCK AND ROLL TO YOU II,New,21,1
1992-01-05,22,ERASURE,AM I RIGHT? (REMIX) (EP),New,22,1
1992-01-05,23,SIMPLY RED,STARS,12,8,7
1992-01-05,24,HUMAN RESOURCE,THE COMPLETE DOMINATOR,18,18,4
1992-01-05,25,JASON DONOVAN,THE JOSEPH MEGA-REMIX,13,13,6
1992-01-05,26,BLUE PEARL,(CAN YOU) FEEL THE PASSION,New,26,1
1992-01-05,27,SUGARCUBES,HIT,New,27,1
1992-01-05,28,THE STONE ROSES,WATERFALL,New,28,1
1992-01-05,29,DES'REE,FEEL SO HIGH {1992},New,29,1
1992-01-05,30,CLIFF RICHARD,THIS NEW YEAR,New,30,1
1992-01-05,31,THE BEAUTIFUL SOUTH,OLD RED EYES IS BACK,New,31,1
1992-01-05,32,SALT-N-PEPA,YOU SHOWED ME,16,15,7
1992-01-05,33,UK MIXMASTERS,THE BARE NECESSITIES MEGAMIX,14,14,6
1992-01-05,34,MICHAEL JACKSON,BLACK OR WHITE,11,1,8
1992-01-05,35,LUSH,FOR LOVE (EP),New,35,1
1992-01-05,36,CATHY DENNIS,EVERYBODY MOVE,25,25,6
1992-01-05,37,MOTLEY CRUE,HOME SWEET HOME ('91 REMIX),New,37,1
1992-01-05,38,FISH,CREDO,New,38,1
1992-01-05,39,CRYSTAL WATERS,MEGAMIX,New,39,1
1992-01-05,40,MARIAH CAREY,CAN'T LET GO,New,40,1
1992-01-05,41,REAL PEOPLE,THE TRUTH {1992},New,41,1
1992-01-05,42,ABC,SAY IT,New,42,1
1992-01-05,43,KATE BUSH,ROCKET MAN,23,12,6
1992-01-05,44,CONVERT,NIGHTBIRD,New,44,1
1992-01-05,45,GENESIS,I CAN'T DANCE,New,45,1
1992-01-05,46,BELINDA CARLISLE,HALF THE WORLD,New,46,1
1992-01-05,47,BIZARRE INC,PLAYING WITH KNIVES,31,4,13
1992-01-05,48,AIRHEAD,COUNTING SHEEP,39,35,4
1992-01-05,49,VOICE OF THE BEEHIVE,PERFECT PLACE,New,49,1
1992-01-05,50,ALTERN 8,ACTIV 8 (COME WITH ME),24,3,9
1992-01-05,51,2 UNLIMITED,GET READY FOR THIS,27,2,15
1992-01-05,52,TOM BROWNE,FUNKIN' FOR JAMAICA (1991 REMIX),New,52,1
1992-01-05,53,NEW KIDS ON THE BLOCK,IF YOU GO AWAY,28,9,5
1992-01-05,54,U2,MYSTERIOUS WAYS,29,13,5
1992-01-05,55,THE ART OF NOISE,INSTRUMENTS OF DARKNESS (ALL OF US ...),New,55,1
1992-01-05,56,NITZER EBB,GODHEAD,New,56,1
1992-01-05,57,VIC REEVES AND THE WONDER STUFF,DIZZY,26,1,12
1992-01-05,58,PET SHOP BOYS,WAS IT WORTH IT?,35,24,4
1992-01-05,59,PRINCE AND THE NEW POWER GENERATION,DIAMONDS AND PEARLS,30,25,6
1992-01-05,60,MALCOLM MCLAREN AND ALISON LIMERICK,MAGIC'S BACK,42,42,4
1992-01-05,61,OSMOND BOYS,SHOW ME THE WAY,New,61,1
1992-01-05,62,SOUNDSOURCE,TAKE ME UP,New,62,1
1992-01-05,63,DANNII MINOGUE,I DON'T WANNA TAKE THIS PAIN,40,40,5
1992-01-05,64,MARC ALMOND,MY HAND OVER MY HEART,New,64,1
1992-01-05,65,RHC,FEVER CALLED LOVE,New,65,1
1992-01-05,66,JAMES,SOUND,33,9,7
1992-01-05,67,RADICAL ROB,MONKEY WAH,New,67,1
1992-01-05,68,ENIGMA,THE RIVERS OF BELIEF,New,68,1
1992-01-05,69,THE POGUES FT KIRSTY MACCOLL,FAIRYTALE OF NEW YORK {1991},36,36,5
1992-01-05,70,LITA FORD,SHOT OF POISON,New,70,1
1992-01-05,71,SIMON AND GARFUNKEL,HAZY SHADE OF WINTER/SILENT NIGHT,34,30,6
1992-01-05,71,CLIFF RICHARD,WE SHOULD BE TOGETHER,21,10,6
1992-01-05,73,ERASURE,AM I RIGHT?,37,15,6
1992-01-05,74,SHADES OF RHYTHM,EXTACY,46,16,7
1992-01-05,75,K-KLASS,RHYTHM IS A MYSTERY {1991 RE-RELEASE},49,3,12
