chart_date,chart_position,chart_artist,chart_title,chart_movement,chart_peak,chart_weeks
1952-11-14,1,AL MARTINO,HERE IN MY HEART,New,1,1
1952-11-14,2,JO STAFFORD,YOU BELONG TO ME,New,2,1
1952-11-14,3,NAT 'KING' COLE,SOMEWHERE ALONG THE WAY,New,3,1
1952-11-14,4,BING CROSBY,THE ISLE OF INNISFREE,New,4,1
1952-11-14,5,GUY MITCHELL,FEET UP (PAT HIM ON THE PO-PO),New,5,1
1952-11-14,6,ROSEMARY CLOONEY,HALF AS MUCH,New,6,1
1952-11-14,7,VERA LYNN,FORGET ME NOT,New,7,1
1952-11-14,7,FRANKIE LAINE,HIGH NOON (DO NOT FORSAKE ME),New,7,1
1952-11-14,8,DORIS DAY AND FRANKIE LAINE,SUGARBUSH,New,8,1
1952-11-14,8,RAY MARTIN,BLUE TANGO,New,8,1
1952-11-14,9,VERA LYNN,THE HOMING WALTZ,New,9,1
1952-11-14,10,VERA LYNN,AUF WIEDERSEH'N SWEETHEART,New,10,1
1952-11-14,11,MARIO LANZA,BECAUSE YOU'RE MINE,New,11,1
1952-11-14,11,MAX BYGRAVES,COWPUNCHER'S CANTATA,New,11,1
1952-11-14,12,JOHNNIE RAY,WALKIN' MY BABY BACK HOME,New,12,1
1952-11-21,1,AL MARTINO,HERE IN MY HEART,1,1,2
1952-11-21,2,GUY MITCHELL,FEET UP (PAT HIM ON THE PO-PO),5,2,2
1952-11-21,3,ROSEMARY CLOONEY,HALF AS MUCH,6,3,2
1952-11-21,4,BING CROSBY,THE ISLE OF INNISFREE,4,4,2
1952-11-21,5,JO STAFFORD,YOU BELONG TO ME,2,2,2
1952-11-21,6,NAT 'KING' COLE,SOMEWHERE ALONG THE WAY,3,3,2
1952-11-21,7,FRANKIE LAINE,HIGH NOON (DO NOT FORSAKE ME),7,7,2
1952-11-21,8,MARIO LANZA,BECAUSE YOU'RE MINE,11,8,2
1952-11-21,9,AL MARTINO,TAKE MY HEART,New,9,1
1952-11-21,10,DORIS DAY,MY LOVE AND DEVOTION,New,10,1
1952-11-21,11,VERA LYNN,THE HOMING WALTZ,9,9,2
1952-11-21,12,DORIS DAY AND FRANKIE LAINE,SUGARBUSH,8,8,2
1952-11-28,1,AL MARTINO,HERE IN MY HEART,1,1,3
1952-11-28,2,JO STAFFORD,YOU BELONG TO ME,5,2,3
1952-11-28,3,ROSEMARY CLOONEY,HALF AS MUCH,3,3,3
1952-11-28,4,MARIO LANZA,BECAUSE YOU'RE MINE,8,4,3
1952-11-28,5,GUY MITCHELL,FEET UP (PAT HIM ON THE PO-PO),2,2,3
1952-11-28,6,BING CROSBY,THE ISLE OF INNISFREE,4,4,3
1952-11-28,7,VERA LYNN,FORGET ME NOT,RE,7,2
1952-11-28,8,NAT 'KING' COLE,SOMEWHERE ALONG THE WAY,6,3,3
1952-11-28,9,VERA LYNN,THE HOMING WALTZ,11,9,3
1952-11-28,10,DORIS DAY,MY LOVE AND DEVOTION,10,10,2
1952-11-28,11,FRANKIE LAINE,HIGH NOON (DO NOT FORSAKE ME),7,7,3
1952-11-28,12,RAY MARTIN,BLUE TANGO,RE,8,2
1952-12-05,1,AL MARTINO,HERE IN MY HEART,1,1,4
1952-12-05,2,JO STAFFORD,YOU BELONG TO ME,2,2,4
1952-12-05,3,MARIO LANZA,BECAUSE YOU'RE MINE,4,3,4
1952-12-05,4,BING CROSBY,THE ISLE OF INNISFREE,6,4,4
1952-12-05,5,GUY MITCHELL,FEET UP (PAT HIM ON THE PO-PO),5,2,4
1952-12-05,6,VERA LYNN,FORGET ME NOT,7,6,3
1952-12-05,7,ROSEMARY CLOONEY,HALF AS MUCH,3,3,4
1952-12-05,8,DORIS DAY AND FRANKIE LAINE,SUGARBUSH,RE,8,3
1952-12-05,9,KAY STARR,COMES A-LONG A-LOVE,New,9,1
1952-12-05,10,BING CROSBY AND JANE WYMAN,ZING A LITTLE ZONG,New,10,1
1952-12-05,11,FRANKIE LAINE,HIGH NOON (DO NOT FORSAKE ME),11,7,4
1952-12-05,12,NAT 'KING' COLE,SOMEWHERE ALONG THE WAY,8,3,4
1952-12-05,12,RAY MARTIN,BLUE TANGO,12,8,3
1952-12-12,1,AL MARTINO,HERE IN MY HEART,1,1,5
1952-12-12,2,JO STAFFORD,YOU BELONG TO ME,2,2,5
1952-12-12,3,ROSEMARY CLOONEY,HALF AS MUCH,7,3,5
1952-12-12,3,BING CROSBY,THE ISLE OF INNISFREE,4,3,5
1952-12-12,4,GUY MITCHELL,FEET UP (PAT HIM ON THE PO-PO),5,2,5
1952-12-12,5,MARIO LANZA,BECAUSE YOU'RE MINE,3,3,5
1952-12-12,5,VERA LYNN,FORGET ME NOT,6,5,4
1952-12-12,6,KAY STARR,COMES A-LONG A-LOVE,9,6,2
1952-12-12,7,NAT 'KING' COLE,SOMEWHERE ALONG THE WAY,12,3,5
1952-12-12,8,DORIS DAY AND FRANKIE LAINE,SUGARBUSH,8,8,4
1952-12-12,9,FRANKIE LAINE,HIGH NOON (DO NOT FORSAKE ME),11,7,5
1952-12-12,10,RAY MARTIN,BLUE TANGO,12,8,4
1952-12-12,11,WINIFRED ATWELL,BRITANNIA RAG,New,11,1
1952-12-12,12,BING CROSBY AND JANE WYMAN,ZING A LITTLE ZONG,10,10,2
1952-12-19,1,AL MARTINO,HERE IN MY HEART,1,1,6
1952-12-19,2,JO STAFFORD,YOU BELONG TO ME,2,2,6
1952-12-19,3,BING CROSBY,THE ISLE OF INNISFREE,3,3,6
1952-12-19,3,KAY STARR,COMES A-LONG A-LOVE,6,3,3
1952-12-19,4,GUY MITCHELL,FEET UP (PAT HIM ON THE PO-PO),4,2,6
1952-12-19,5,ROSEMARY CLOONEY,HALF AS MUCH,3,3,6
1952-12-19,6,MANTOVANI,WHITE CHRISTMAS,New,6,1
1952-12-19,6,NAT KING COLE,BECAUSE YOU'RE MINE,New,6,1
1952-12-19,6,NAT 'KING' COLE,SOMEWHERE ALONG THE WAY,7,3,6
1952-12-19,7,JOHNNIE RAY AND THE FOUR LADS,FAITH CAN MOVE MOUNTAINS,New,7,1
1952-12-19,8,BING CROSBY,"SILENT NIGHT, HOLY NIGHT",New,8,1
1952-12-19,8,LOUIS ARMSTRONG,TAKES TWO TO TANGO,New,8,1
1952-12-19,9,TONY BRENT,WALKIN' TO MISSOURI,New,9,1
1952-12-19,10,MARIO LANZA,BECAUSE YOU'RE MINE,5,3,6
1952-12-19,10,VERA LYNN,FORGET ME NOT,5,5,5
1952-12-19,10,DORIS DAY AND FRANKIE LAINE,SUGARBUSH,8,8,5
1952-12-19,11,JO STAFFORD,JAMBALAYA,New,11,1
1952-12-19,12,FRANKIE LAINE,HIGH NOON (DO NOT FORSAKE ME),9,7,6
1952-12-26,1,AL MARTINO,HERE IN MY HEART,1,1,7
1952-12-26,2,JO STAFFORD,YOU BELONG TO ME,2,2,7
1952-12-26,3,BING CROSBY,THE ISLE OF INNISFREE,3,3,7
1952-12-26,3,KAY STARR,COMES A-LONG A-LOVE,3,3,4
1952-12-26,4,GUY MITCHELL,FEET UP (PAT HIM ON THE PO-PO),4,2,7
1952-12-26,5,ROSEMARY CLOONEY,HALF AS MUCH,5,3,7
1952-12-26,6,NAT 'KING' COLE,SOMEWHERE ALONG THE WAY,6,3,7
1952-12-26,6,MANTOVANI,WHITE CHRISTMAS,6,6,2
1952-12-26,6,NAT KING COLE,BECAUSE YOU'RE MINE,6,6,2
1952-12-26,7,JOHNNIE RAY AND THE FOUR LADS,FAITH CAN MOVE MOUNTAINS,7,7,2
1952-12-26,8,BING CROSBY,"SILENT NIGHT, HOLY NIGHT",8,8,2
1952-12-26,8,LOUIS ARMSTRONG,TAKES TWO TO TANGO,8,8,2
1952-12-26,9,TONY BRENT,WALKIN' TO MISSOURI,9,9,2
1952-12-26,10,DORIS DAY AND FRANKIE LAINE,SUGARBUSH,10,8,6
1952-12-26,10,MARIO LANZA,BECAUSE YOU'RE MINE,10,3,7
1952-12-26,10,VERA LYNN,FORGET ME NOT,10,5,6
1952-12-26,11,JO STAFFORD,JAMBALAYA,11,11,2
1952-12-26,12,FRANKIE LAINE,HIGH NOON (DO NOT FORSAKE ME),12,7,7
1953-01-02,1,AL MARTINO,HERE IN MY HEART,1,1,8
1953-01-02,2,JO STAFFORD,YOU BELONG TO ME,2,2,8
1953-01-02,3,KAY STARR,COMES A-LONG A-LOVE,3,3,5
1953-01-02,4,GUY MITCHELL,FEET UP (PAT HIM ON THE PO-PO),4,2,8
1953-01-02,5,BING CROSBY,THE ISLE OF INNISFREE,3,3,8
1953-01-02,6,ROSEMARY CLOONEY,HALF AS MUCH,5,3,8
1953-01-02,7,MARIO LANZA,BECAUSE YOU'RE MINE,10,3,8
1953-01-02,8,MAX BYGRAVES,COWPUNCHER'S CANTATA,RE,8,2
1953-01-02,8,LOUIS ARMSTRONG,TAKES TWO TO TANGO,8,8,3
1953-01-02,9,MANTOVANI,WHITE CHRISTMAS,6,6,3
1953-01-02,10,DORIS DAY AND FRANKIE LAINE,SUGARBUSH,10,8,7
1953-01-02,11,NAT KING COLE,FAITH CAN MOVE MOUNTAINS,New,11,1
1953-01-02,12,TONY BRENT,MAKE IT SOON,New,12,1
1953-01-02,12,EDDIE FISHER,OUTSIDE OF HEAVEN,New,12,1
1953-01-09,1,AL MARTINO,HERE IN MY HEART,1,1,9
1953-01-09,2,JO STAFFORD,YOU BELONG TO ME,2,2,9
1953-01-09,3,KAY STARR,COMES A-LONG A-LOVE,3,3,6
1953-01-09,4,BING CROSBY,THE ISLE OF INNISFREE,5,3,9
